Название вакансии,название компании,зарплата,ссылка на вакансию
Программист Backend .NET/ С# + Java,Neo Stack Technology,Не указана,https://tomsk.hh.ru/vacancy/110338822?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++ middle/senior,АО Научно-производственная фирма Микран,Не указана,https://tomsk.hh.ru/vacancy/110196353?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист C++,АО Научно-производственная фирма Микран,Не указана,https://tomsk.hh.ru/vacancy/110196384?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ЭЛИТА-ИМУЩЕСТВО,Не указана,https://tomsk.hh.ru/vacancy/108378003?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист C++/Qt,АО Научно-производственная фирма Микран,Не указана,https://tomsk.hh.ru/vacancy/110196380?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - программист 1С,АО НПЦ Полюс,Не указана,https://tomsk.hh.ru/vacancy/108493874?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer,InlyIT,Не указана,https://tomsk.hh.ru/vacancy/104423359?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик С++,АО ИнфоТеКС,Не указана,https://tomsk.hh.ru/vacancy/110283390?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Центр информационных технологий),Томский государственный архитектурно-строительный университет,Не указана,https://tomsk.hh.ru/vacancy/102320415?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик Middle/Middle+,BESTTOOLBARS,Не указана,https://tomsk.hh.ru/vacancy/110335400?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
